,[NADH],,0.0,M,,,,,,,,,,,,,,
,[HoxEFU],,0.0,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Donor,,,ET rate constants (s-1),,,,,,,,,,,,,,
Acceptor,,FMN (Q),FMN (SQ),FMN (HQ),E1,F1,F2,U1,U2(384),U3-His,U4(457),,,,,,,
,FMN (Q),,,,,,,,,,,,,,,,,
,FMN (SQ),,,,1.09E+03,3.95E+09,1.16E+00,0,0,0,0,,,,,,,
,FMN (HQ),,,,3.11E+04,3.77E+10,13.8,0,0,0,0,,,,,,,
,E1,3.20E+07,9.40E+06,,,7.15E+01,2.48E+06,0,0,0,0,,,,,,,
,F1,4.81E+10,4.43E+09,,2.78E-02,,0,3.47E+06,0,0,0,,,,,,,
,F2,9.38E+01,1.38E+01,,7.11E+03,0,,0,0,0,0,,,,,,,
,U1,0,0,,0,3.47E+06,0,,2.10E+06,0,0,,,,,,,
,U2(384),0,0,,0,0,0,5.56E+06,,1.10E+07,1.88E+07,,,,,,,
,U3-His,0,0,,0,0,0,0,2.00E+09,,0,,,,,,,
,U4(457),0,0,,0,0,0,0,1.43E+08,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
